city,latitude,longitude,date,PM2_5,PM10,NO2,SO2,CO,O3,temperature,humidity,wind_speed,wind_dir,dist_to_road,dist_to_industry,dist_to_farm,fire_nearby,is_festival_day,festival_name,is_election_period,is_sports_event,pollution_source
Delhi,28.629602,77.215603,2010-01-02,53.3,155.7,49.46,19.27,1.0,11.82,25.32,75.42,3.32,337.02,0.953,1.688,0.307,0,0,None,0,0,agricultural
Mumbai,19.081932,72.885999,2010-01-02,22.63,172.87,41.03,28.72,1.533,18.49,36.29,76.29,2.09,291.64,1.614,4.889,2.148,0,0,None,0,0,industrial
Chennai,13.074408,80.255082,2010-01-02,88.62,152.57,33.69,27.59,1.0,27.16,25.09,61.47,6.47,103.15,0.715,0.062,0.114,0,0,None,0,0,waste
Kolkata,22.567559,88.343138,2010-01-02,3.98,198.02,42.57,25.5,1.0,58.67,39.06,84.54,4.24,351.31,0.581,0.78,4.757,0,0,None,0,0,vehicular
Bengaluru,12.959909,77.584239,2010-01-02,75.15,163.29,15.99,16.65,1.0,22.16,38.59,67.29,1.11,343.75,1.071,1.616,2.838,0,0,None,0,0,vehicular
Hyderabad,17.380125,78.49426,2010-01-02,87.54,108.13,77.44,19.81,1.0,14.46,27.37,24.09,1.05,221.71,0.806,0.093,1.408,0,0,None,0,0,industrial
Pune,18.536214,73.837832,2010-01-02,30.55,143.11,43.98,14.0,1.035,25.38,28.68,71.92,5.38,164.97,0.631,5.676,1.464,0,0,None,0,0,fire_crackers
Guwahati,26.150025,91.742273,2010-01-02,22.87,95.68,44.15,28.85,1.0,22.53,25.87,77.14,5.18,315.89,1.063,3.254,0.994,0,0,None,0,0,vehicular
Lucknow,26.865821,80.945568,2010-01-02,59.37,125.87,65.55,14.08,1.274,27.57,26.69,79.78,4.24,37.12,1.863,1.407,5.254,0,0,None,0,0,vehicular
Kanpur,26.432302,80.331981,2010-01-02,84.41,106.45,27.74,39.12,1.533,8.5,25.32,81.69,1.21,270.85,1.255,3.118,0.287,0,0,None,0,0,industrial
Delhi,28.629466,77.224971,2010-01-03,89.25,112.65,23.49,16.79,1.206,23.24,23.07,64.39,3.37,26.19,1.38,2.45,0.255,0,0,None,0,0,vehicular
Mumbai,19.079842,72.883335,2010-01-03,44.79,177.72,30.45,13.36,1.68,5.56,37.42,54.56,2.99,168.72,0.046,0.253,0.375,0,0,None,0,0,industrial
Chennai,13.096046,80.251818,2010-01-03,56.74,140.09,53.8,15.99,1.112,30.15,28.59,46.09,3.04,226.58,0.952,1.212,2.963,0,0,None,0,0,industrial
Kolkata,22.562381,88.372552,2010-01-03,74.94,114.45,59.53,5.47,1.392,28.11,19.87,78.59,0.28,27.98,2.932,8.568,3.594,0,0,None,0,0,industrial
Bengaluru,12.989989,77.609865,2010-01-03,33.05,144.6,13.6,38.31,1.59,24.37,17.72,84.37,2.83,149.34,0.256,0.116,6.001,0,0,None,0,0,waste
Hyderabad,17.380807,78.494087,2010-01-03,97.13,195.81,46.25,16.87,1.0,13.58,31.21,79.09,5.31,128.94,0.096,2.227,2.204,0,0,None,0,0,agricultural
Pune,18.531346,73.845862,2010-01-03,121.82,207.77,35.02,29.72,1.323,46.42,22.21,72.35,4.59,141.21,0.46,4.69,1.284,0,0,None,0,0,vehicular
Guwahati,26.125122,91.716076,2010-01-03,7.24,169.08,46.61,19.85,1.398,26.62,18.01,59.89,3.6,118.35,0.803,0.549,0.237,0,0,None,0,0,vehicular
Lucknow,26.844571,80.950137,2010-01-03,71.0,73.01,29.72,9.41,1.0,41.46,22.09,69.07,2.2,63.72,0.074,0.257,1.853,0,0,None,0,0,vehicular
Kanpur,26.448501,80.339899,2010-01-03,36.21,114.9,40.84,25.15,1.602,40.22,24.28,46.74,3.87,75.37,0.37,1.325,2.889,0,0,None,0,0,industrial
Delhi,28.625621,77.233744,2010-01-04,77.3,135.56,101.58,31.2,1.0,18.53,18.36,63.66,1.87,7.23,0.311,0.475,1.19,0,0,None,0,0,vehicular
Mumbai,19.064244,72.899461,2010-01-04,17.33,172.77,53.07,11.26,1.0,58.49,34.09,52.07,5.37,45.93,0.267,0.902,3.115,0,0,None,0,0,industrial
Chennai,13.070316,80.256836,2010-01-04,18.04,148.15,26.99,15.13,1.0,19.63,28.29,45.04,3.41,40.33,0.406,6.978,6.019,0,0,None,0,0,waste
Kolkata,22.561545,88.36325,2010-01-04,58.49,146.42,44.15,40.43,1.81,41.2,23.43,49.84,1.5,153.16,0.567,0.555,0.366,0,0,None,0,0,industrial
Bengaluru,12.987181,77.603225,2010-01-04,58.02,59.45,26.96,20.47,1.0,25.39,34.04,49.62,4.25,273.68,0.724,1.276,1.592,0,0,None,0,0,vehicular
Hyderabad,17.374353,78.495088,2010-01-04,26.11,128.49,41.79,24.88,1.79,28.56,28.68,49.3,3.88,58.92,0.144,3.37,3.283,0,0,None,0,0,industrial
Pune,18.537593,73.855108,2010-01-04,96.04,99.6,1.0,9.92,1.0,25.78,28.11,90.18,3.49,138.2,0.627,4.739,2.936,0,0,None,0,0,vehicular
Guwahati,26.150498,91.745071,2010-01-04,53.43,76.26,31.99,25.09,1.624,41.59,28.49,51.23,3.61,112.22,0.229,2.725,0.102,0,0,None,0,0,agricultural
Lucknow,26.866338,80.953336,2010-01-04,91.13,94.5,34.6,10.21,1.0,34.53,32.54,43.4,4.3,249.82,0.626,0.58,1.273,0,0,None,0,0,vehicular
Kanpur,26.446965,80.339458,2010-01-04,100.67,75.46,1.0,21.81,2.322,27.57,28.28,92.08,3.89,332.1,0.983,0.331,2.576,0,0,None,0,0,industrial
Delhi,28.608089,77.218984,2010-01-05,30.31,113.71,41.11,30.94,1.0,48.35,27.05,52.32,1.48,193.46,2.019,0.85,1.278,0,0,None,0,0,agricultural
Mumbai,19.055947,72.876585,2010-01-05,10.35,63.73,37.02,19.93,1.0,39.65,27.06,79.45,0.23,227.62,0.011,2.179,0.588,0,0,None,0,0,fire_crackers
Chennai,13.077631,80.266031,2010-01-05,137.2,122.96,40.28,19.76,1.099,28.27,24.56,50.16,2.95,203.34,0.054,2.988,1.812,0,0,None,0,0,industrial
Kolkata,22.551084,88.348879,2010-01-05,43.7,61.12,44.07,22.9,1.0,28.2,31.17,75.0,1.01,147.14,0.021,0.34,3.776,0,0,None,0,0,industrial
Bengaluru,12.985853,77.57052,2010-01-05,81.65,63.55,29.51,24.89,1.0,38.56,26.56,53.25,4.07,298.88,0.405,2.206,0.688,0,0,None,0,0,vehicular
Hyderabad,17.390544,78.465605,2010-01-05,73.33,36.51,75.29,7.58,1.0,45.79,17.48,73.61,0.88,147.39,0.642,1.146,1.046,0,0,None,0,0,fire_crackers
Pune,18.510892,73.830736,2010-01-05,58.87,175.17,42.28,21.5,1.0,29.32,29.85,29.22,0.98,50.17,1.441,8.321,2.238,0,0,None,0,0,vehicular
Guwahati,26.140757,91.711879,2010-01-05,82.3,38.52,51.04,40.06,1.359,24.37,31.16,89.17,5.36,239.41,0.154,4.916,1.628,0,0,None,0,0,vehicular
Lucknow,26.838598,80.931247,2010-01-05,75.53,83.71,43.74,12.45,1.0,13.12,22.46,35.67,1.54,203.91,0.517,2.179,8.286,0,0,None,0,0,agricultural
Kanpur,26.439856,80.342764,2010-01-05,91.61,150.38,9.62,19.95,1.0,9.73,33.92,53.66,3.36,27.05,1.042,1.368,3.498,0,0,None,0,0,industrial
Delhi,28.623968,77.219987,2010-01-06,78.97,168.63,52.44,4.3,1.0,27.03,27.55,71.17,3.27,314.26,1.054,3.286,3.226,0,0,None,0,0,agricultural
Mumbai,19.0592,72.864823,2010-01-06,19.94,43.67,38.84,28.18,1.067,35.36,26.72,80.32,2.88,304.04,0.307,3.531,0.113,0,0,None,0,0,industrial
Chennai,13.060851,80.284988,2010-01-06,66.66,96.06,65.12,11.05,1.0,24.72,36.68,63.54,4.55,318.95,0.765,0.53,0.074,0,0,None,0,0,waste
Kolkata,22.559551,88.344419,2010-01-06,15.43,155.67,40.94,32.23,1.0,23.88,13.09,76.56,3.47,354.27,1.17,1.082,1.641,0,0,None,0,0,agricultural
Bengaluru,12.959267,77.607709,2010-01-06,19.67,74.07,19.92,12.32,1.0,32.81,37.3,42.03,4.48,340.1,0.504,1.901,0.548,0,0,None,0,0,fire_crackers
Hyderabad,17.399796,78.466956,2010-01-06,53.58,178.36,72.42,4.3,1.037,23.79,24.41,70.0,2.07,126.05,0.048,6.954,6.457,0,0,None,0,0,fire_crackers
Pune,18.538226,73.864485,2010-01-06,102.62,91.46,23.35,24.71,1.0,37.6,29.22,32.72,5.32,32.94,1.679,0.617,0.416,0,0,None,0,0,waste
Guwahati,26.154048,91.729806,2010-01-06,113.88,147.17,61.67,11.49,1.052,9.02,20.46,75.91,1.57,178.52,0.068,0.497,3.449,0,0,None,0,0,vehicular
Lucknow,26.857206,80.954744,2010-01-06,135.81,93.46,30.21,30.44,1.341,52.16,31.5,53.53,3.89,306.21,1.616,2.464,5.442,0,0,None,0,0,agricultural
Kanpur,26.455273,80.320392,2010-01-06,93.26,87.54,49.61,16.3,1.0,21.73,30.97,67.53,3.6,182.69,0.005,0.677,2.879,0,0,None,0,0,fire_crackers
Delhi,28.618327,77.212694,2010-01-07,79.36,228.16,33.84,22.19,1.125,48.93,27.43,65.02,3.91,36.9,2.215,2.329,0.211,0,0,None,0,0,vehicular
Mumbai,19.067047,72.878055,2010-01-07,65.6,29.5,59.3,15.2,1.064,34.41,24.85,57.64,0.1,277.35,0.92,1.181,0.959,0,0,None,0,0,fire_crackers
Chennai,13.076373,80.285764,2010-01-07,73.2,94.9,19.58,27.08,1.122,23.23,20.32,75.7,3.98,151.1,0.814,1.014,0.962,0,0,None,0,0,fire_crackers
Kolkata,22.580441,88.365049,2010-01-07,57.02,84.46,26.62,20.74,1.0,41.41,25.94,69.1,2.96,66.79,1.624,2.998,4.421,0,0,None,0,0,waste
Bengaluru,12.952898,77.5857,2010-01-07,65.9,155.45,38.21,34.4,1.0,51.61,27.76,34.25,3.19,96.84,1.278,0.743,1.822,0,0,None,0,0,vehicular
Hyderabad,17.384726,78.488099,2010-01-07,39.57,243.61,30.08,30.24,1.0,34.47,30.87,59.56,2.14,37.77,0.222,8.634,0.461,0,0,None,0,0,vehicular
Pune,18.528259,73.831263,2010-01-07,53.37,121.34,44.17,1.0,1.0,21.82,21.99,54.94,5.7,288.21,0.179,0.367,0.331,0,0,None,0,0,industrial
Guwahati,26.123265,91.712414,2010-01-07,79.23,210.6,47.16,23.93,1.341,23.05,34.53,62.06,4.43,294.23,0.482,2.063,2.242,0,0,None,0,0,waste
Lucknow,26.857209,80.932888,2010-01-07,40.46,95.81,33.59,24.24,1.261,23.12,27.85,98.56,5.59,82.24,4.487,7.361,3.152,0,0,None,0,0,vehicular
Kanpur,26.441073,80.333694,2010-01-07,73.09,174.55,37.79,29.33,1.437,7.63,22.59,31.89,6.0,261.09,0.533,4.134,6.929,0,0,None,0,0,industrial
Delhi,28.613718,77.216541,2010-01-08,104.3,189.0,27.49,23.96,1.247,33.13,24.7,47.91,2.96,89.0,1.637,1.179,2.17,0,0,None,0,0,vehicular
Mumbai,19.067236,72.869949,2010-01-08,95.18,138.71,38.26,28.07,1.0,43.29,23.75,31.99,2.59,26.46,0.149,1.467,1.233,0,0,None,0,0,waste
Chennai,13.097464,80.251574,2010-01-08,105.02,162.51,33.03,16.51,1.0,54.92,30.29,67.74,4.55,74.1,0.095,0.629,0.176,0,0,None,0,0,industrial
Kolkata,22.555586,88.341199,2010-01-08,67.16,113.45,19.3,18.1,1.224,22.93,28.06,62.51,3.68,312.45,0.485,1.45,2.013,0,0,None,0,0,industrial
Bengaluru,12.972824,77.571215,2010-01-08,93.25,68.0,52.26,9.47,1.0,52.97,26.86,63.91,4.31,340.06,0.92,1.375,2.886,0,0,None,0,0,waste
Hyderabad,17.39483,78.491295,2010-01-08,74.87,129.88,48.98,9.23,1.334,16.92,37.79,46.11,3.44,236.82,5.953,0.099,11.34,0,0,None,0,0,vehicular
Pune,18.514658,73.845847,2010-01-08,108.41,142.68,35.12,29.64,1.595,15.27,31.58,72.62,2.55,294.42,0.102,1.573,0.017,0,0,None,0,0,vehicular
Guwahati,26.140763,91.729167,2010-01-08,101.27,75.74,71.05,4.47,1.0,14.48,24.39,63.05,1.95,240.56,0.773,1.245,1.433,0,0,None,0,0,waste
Lucknow,26.834057,80.949435,2010-01-08,18.31,37.73,60.45,44.4,1.692,36.77,31.57,75.36,4.14,87.65,2.094,0.124,8.174,0,0,None,0,0,vehicular
Kanpur,26.437258,80.331007,2010-01-08,68.44,76.47,20.31,29.71,1.0,7.05,30.38,87.26,4.16,98.14,0.427,0.26,0.6,0,0,None,0,0,industrial
Delhi,28.598482,77.234439,2010-01-09,41.96,135.99,8.14,24.4,1.0,36.63,29.34,84.55,3.19,342.51,0.736,3.421,6.468,0,0,None,0,0,vehicular
Mumbai,19.073464,72.866721,2010-01-09,47.12,177.47,33.98,17.25,1.376,38.97,23.8,74.45,2.16,152.55,0.881,0.201,2.933,0,0,None,0,0,vehicular
Chennai,13.076173,80.267128,2010-01-09,79.01,140.69,36.29,18.7,1.022,28.24,33.78,99.79,2.16,214.01,0.549,8.81,0.44,0,0,None,0,0,industrial
Kolkata,22.559348,88.3616,2010-01-09,18.91,168.82,62.08,23.03,1.0,10.52,31.38,40.19,1.93,127.8,0.058,1.464,0.21,0,0,None,0,0,waste
Bengaluru,12.971433,77.573867,2010-01-09,69.93,161.68,1.0,23.74,1.614,15.48,38.04,67.54,1.94,202.43,2.529,0.385,3.514,0,0,None,0,0,vehicular
Hyderabad,17.365109,78.493043,2010-01-09,58.33,199.17,33.86,33.14,1.0,23.59,19.56,61.31,4.17,303.13,0.589,1.954,0.28,0,0,None,0,0,agricultural
Pune,18.537224,73.834655,2010-01-09,81.24,167.84,24.28,6.69,1.0,36.1,21.38,21.25,3.58,330.98,0.55,9.697,5.72,0,0,None,0,0,vehicular
Guwahati,26.125301,91.744481,2010-01-09,134.79,98.07,63.33,25.68,1.3,23.91,26.58,38.62,2.47,250.18,0.34,7.427,3.073,0,0,None,0,0,waste
Lucknow,26.8473,80.942473,2010-01-09,59.25,160.89,67.8,25.58,1.005,14.26,21.61,54.51,2.09,9.29,0.116,6.6,2.392,0,0,None,0,0,fire_crackers
Kanpur,26.432311,80.337801,2010-01-09,54.39,1.0,45.87,22.83,1.0,36.48,20.31,42.6,3.63,22.09,1.214,1.232,0.18,0,0,None,0,0,fire_crackers
Delhi,28.597785,77.22471,2010-01-10,41.6,104.88,32.24,21.7,1.08,30.04,30.62,81.43,4.42,189.73,0.444,0.28,6.531,0,0,None,0,0,vehicular
Mumbai,19.050485,72.869648,2010-01-10,15.45,180.39,33.67,28.79,1.381,29.64,26.95,52.95,2.98,93.53,1.143,0.295,2.299,0,0,None,0,0,vehicular
Chennai,13.091401,80.285683,2010-01-10,59.54,148.96,42.39,10.27,1.598,28.1,27.84,43.2,2.34,265.45,0.517,0.943,1.505,0,0,None,0,0,industrial
Kolkata,22.556007,88.369497,2010-01-10,33.46,177.12,17.58,4.01,1.0,28.94,33.53,85.39,4.82,322.24,0.81,1.903,0.207,0,0,None,0,0,industrial
Bengaluru,12.950838,77.573287,2010-01-10,120.4,126.83,32.69,21.85,1.0,18.34,35.2,48.18,1.43,62.68,0.083,2.159,4.337,0,0,None,0,0,vehicular
Hyderabad,17.399199,78.484075,2010-01-10,76.1,150.36,66.22,7.47,1.0,33.37,22.45,71.55,4.84,190.91,0.034,6.915,4.809,0,0,None,0,0,vehicular
Pune,18.525832,73.841436,2010-01-10,105.85,145.39,50.77,30.73,1.0,19.93,21.73,24.61,6.08,339.51,0.22,0.259,0.66,0,0,None,0,0,waste
Guwahati,26.121727,91.716593,2010-01-10,26.9,135.21,45.32,28.38,1.0,44.56,27.16,75.99,4.1,236.22,0.156,1.575,12.534,0,0,None,0,0,fire_crackers
Lucknow,26.860445,80.936403,2010-01-10,71.99,87.43,29.43,25.86,1.619,30.26,29.85,90.64,3.36,107.12,0.666,2.335,6.198,0,0,None,0,0,agricultural
Kanpur,26.452169,80.310209,2010-01-10,138.05,107.48,39.61,28.28,1.0,45.46,25.46,64.69,0.9,263.91,0.766,0.417,1.317,0,0,None,0,0,agricultural
Delhi,28.590129,77.234784,2010-01-11,36.45,152.41,37.58,24.2,1.0,24.75,32.33,53.29,5.59,319.03,0.719,0.994,1.596,0,0,None,0,0,agricultural
Mumbai,19.060793,72.893002,2010-01-11,48.01,178.33,28.54,21.81,1.0,56.57,26.22,62.28,1.97,202.13,0.658,1.85,3.385,0,0,None,0,0,waste
Chennai,13.089427,80.289934,2010-01-11,35.45,119.83,36.6,15.47,1.348,41.46,28.53,86.6,1.29,118.15,0.455,0.186,0.748,0,0,None,0,0,industrial
Kolkata,22.56338,88.341048,2010-01-11,54.19,129.49,51.54,38.62,1.0,25.8,29.57,80.65,2.54,138.18,0.679,1.772,0.612,0,0,None,0,0,vehicular
Bengaluru,12.97918,77.600621,2010-01-11,64.23,31.58,46.46,18.52,1.0,10.86,31.08,50.41,1.25,48.05,0.067,2.603,2.058,0,0,None,0,0,vehicular
Hyderabad,17.37799,78.491068,2010-01-11,1.0,137.74,18.04,23.95,1.0,34.24,28.73,42.43,1.66,88.91,1.894,0.574,0.952,0,0,None,0,0,agricultural
Pune,18.522613,73.848557,2010-01-11,59.36,82.64,1.0,28.84,1.368,26.62,28.4,69.29,0.66,263.1,3.183,0.593,3.185,0,0,None,0,0,vehicular
Guwahati,26.122707,91.738313,2010-01-11,44.13,124.0,46.96,11.92,1.0,24.88,24.75,71.39,2.33,202.04,0.593,0.244,5.901,0,0,None,0,0,waste
Lucknow,26.861451,80.938055,2010-01-11,35.17,124.31,18.56,1.0,1.218,40.85,13.82,41.82,3.93,22.42,0.575,3.284,1.844,0,0,None,0,0,vehicular
Kanpur,26.448557,80.346369,2010-01-11,121.72,84.55,29.79,31.62,1.0,12.65,28.57,53.51,3.77,162.45,3.359,2.957,0.083,0,0,None,0,0,vehicular
Delhi,28.611321,77.216318,2010-01-12,54.59,279.66,45.98,12.48,1.0,43.78,28.68,34.11,4.38,207.93,0.805,3.198,1.512,0,0,None,0,0,fire_crackers
Mumbai,19.053339,72.895297,2010-01-12,39.96,169.13,53.13,28.34,1.0,26.81,30.9,50.16,2.23,321.84,0.85,0.33,1.741,0,0,None,0,0,industrial
Chennai,13.094327,80.282763,2010-01-12,60.73,190.61,38.41,24.52,1.0,35.14,26.88,77.74,4.78,258.97,1.768,0.165,3.945,0,0,None,0,0,vehicular
Kolkata,22.554025,88.349595,2010-01-12,137.69,210.39,47.02,16.96,1.0,28.02,35.84,58.36,0.1,298.17,0.327,0.382,3.735,0,0,None,0,0,waste
Bengaluru,12.952786,77.576995,2010-01-12,48.25,73.88,72.31,16.78,1.609,48.26,33.99,52.23,3.61,228.29,0.108,2.255,1.18,0,0,None,0,0,industrial
Hyderabad,17.394848,78.490643,2010-01-12,59.27,99.9,50.49,14.91,1.389,46.51,34.08,25.15,3.19,76.55,0.027,0.725,3.177,0,0,None,0,0,fire_crackers
Pune,18.501681,73.859596,2010-01-12,79.04,175.48,48.2,17.59,1.336,52.8,27.2,42.46,4.66,196.79,0.383,7.527,0.352,0,0,None,0,0,vehicular
Guwahati,26.123861,91.719676,2010-01-12,56.39,108.91,48.43,15.65,1.375,32.35,29.9,76.0,2.21,101.35,1.649,0.239,3.649,0,0,None,0,0,industrial
Lucknow,26.850858,80.932546,2010-01-12,59.42,104.84,56.0,3.84,1.0,17.19,33.7,90.79,2.84,286.05,0.028,1.748,16.17,0,0,None,0,0,waste
Kanpur,26.454284,80.335252,2010-01-12,54.94,137.38,63.27,22.65,1.321,37.84,44.13,27.42,1.97,156.45,1.189,1.842,6.691,0,0,None,0,0,industrial
Delhi,28.604474,77.2289,2010-01-13,109.2,157.11,41.51,3.98,1.0,19.88,41.03,56.83,3.18,267.69,0.565,2.011,0.221,0,0,None,0,0,vehicular
Mumbai,19.082103,72.882882,2010-01-13,76.54,108.99,1.0,24.52,1.0,19.27,23.98,56.31,3.01,2.76,0.198,0.075,0.343,0,0,None,0,0,vehicular
Chennai,13.075783,80.266873,2010-01-13,3.74,125.75,36.8,26.71,1.107,20.98,26.09,45.67,4.61,177.68,0.969,9.872,0.423,0,0,None,0,0,vehicular
Kolkata,22.554841,88.356758,2010-01-13,60.64,161.57,36.37,27.72,1.766,41.05,24.75,62.61,2.08,247.17,0.097,0.968,1.828,0,0,None,0,0,vehicular
Bengaluru,12.954822,77.606098,2010-01-13,56.06,123.84,35.5,13.5,1.084,35.3,21.46,85.4,2.85,228.99,1.956,1.896,6.207,0,0,None,0,0,agricultural
Hyderabad,17.386919,78.471015,2010-01-13,60.57,122.92,25.1,3.03,1.0,62.14,25.09,24.73,4.1,262.5,0.845,3.736,3.538,0,0,None,0,0,vehicular
Pune,18.506674,73.847221,2010-01-13,90.02,86.47,67.85,17.5,1.144,33.12,27.19,74.59,4.19,133.62,0.735,2.446,3.498,0,0,None,0,0,vehicular
Guwahati,26.159521,91.72816,2010-01-13,7.54,71.78,31.4,20.5,1.0,13.05,35.28,57.29,1.93,112.04,0.904,1.862,1.36,0,0,None,0,0,vehicular
Lucknow,26.866003,80.934646,2010-01-13,35.71,141.2,30.52,19.86,1.273,30.08,25.38,58.03,2.87,57.61,0.019,2.823,1.84,0,0,None,0,0,vehicular
Kanpur,26.447618,80.322093,2010-01-13,48.9,115.33,44.58,22.4,1.452,11.52,19.08,69.52,0.1,55.49,0.645,1.56,4.305,0,0,None,0,0,waste
Delhi,28.612775,77.234826,2010-01-14,36.37,88.96,36.64,15.28,1.0,38.97,21.56,64.31,6.11,176.0,0.411,10.182,6.369,0,0,None,0,0,agricultural
Mumbai,19.061031,72.895084,2010-01-14,32.42,97.6,14.48,19.7,1.0,11.71,29.45,64.79,5.65,313.19,0.112,3.126,0.4,0,0,None,0,0,waste
Chennai,13.076303,80.283101,2010-01-14,71.31,118.54,62.52,19.49,1.0,45.14,22.57,48.23,2.11,184.06,0.542,1.722,6.02,0,0,None,0,0,fire_crackers
Kolkata,22.577701,88.345377,2010-01-14,101.23,140.73,69.84,31.66,1.0,28.38,34.02,100.0,3.29,333.5,0.015,1.296,3.492,0,0,None,0,0,agricultural
Bengaluru,12.974544,77.573544,2010-01-14,30.85,51.02,27.47,28.62,1.477,36.16,32.35,69.29,2.04,271.23,1.172,2.149,4.359,0,0,None,0,0,waste
Hyderabad,17.363074,78.480025,2010-01-14,72.96,78.99,39.52,3.6,1.0,27.71,24.71,61.92,2.8,341.17,0.06,6.207,2.218,0,0,None,0,0,vehicular
Pune,18.525913,73.834917,2010-01-14,79.78,166.88,7.85,12.37,1.0,18.72,32.98,56.51,2.6,81.37,0.818,7.725,2.775,0,0,None,0,0,vehicular
Guwahati,26.125715,91.741014,2010-01-14,1.0,120.4,60.07,41.87,1.0,22.21,29.13,40.1,4.17,257.02,1.383,3.259,2.412,0,0,None,0,0,industrial
Lucknow,26.830153,80.939873,2010-01-14,59.23,31.55,26.11,15.91,1.0,31.83,23.07,80.18,3.0,16.87,0.259,2.455,0.194,0,0,None,0,0,waste
Kanpur,26.433572,80.337481,2010-01-14,59.72,77.08,62.51,17.27,1.0,38.74,25.07,78.49,2.0,321.07,0.455,4.815,1.421,0,0,None,0,0,fire_crackers
Delhi,28.610016,77.227309,2010-01-15,1.0,113.29,68.45,29.26,1.483,44.83,28.53,63.55,2.07,281.46,0.827,0.099,1.339,0,0,None,0,0,fire_crackers
Mumbai,19.07431,72.871812,2010-01-15,50.52,47.93,35.81,5.95,1.0,44.82,26.08,52.86,3.72,236.65,0.511,4.243,0.729,0,0,None,0,0,industrial
Chennai,13.093419,80.250588,2010-01-15,71.29,74.9,22.61,31.25,1.0,49.71,22.6,71.49,2.51,132.4,0.048,0.236,2.176,0,0,None,0,0,vehicular
Kolkata,22.58096,88.370917,2010-01-15,78.1,43.73,17.32,17.82,1.0,39.35,13.54,58.61,3.02,167.07,2.648,1.464,3.395,0,0,None,0,0,vehicular
Bengaluru,12.950944,77.605942,2010-01-15,73.15,120.98,53.46,25.92,1.0,23.12,28.61,87.88,1.14,0.49,0.285,2.08,10.971,0,0,None,0,0,waste
Hyderabad,17.397709,78.491408,2010-01-15,15.97,153.51,53.54,1.0,1.0,25.25,26.92,46.62,1.8,174.27,1.101,1.284,0.179,0,0,None,0,0,fire_crackers
Pune,18.513808,73.866699,2010-01-15,60.63,131.54,14.8,13.84,1.0,26.19,35.69,70.04,1.33,292.0,0.808,0.983,3.364,0,0,None,0,0,vehicular
Guwahati,26.152279,91.728387,2010-01-15,67.4,106.85,3.29,23.3,1.31,16.93,27.07,60.68,3.88,87.08,0.555,2.276,0.238,0,0,None,0,0,vehicular
Lucknow,26.866316,80.967748,2010-01-15,1.0,196.67,11.52,17.33,1.0,37.06,18.41,68.32,6.04,26.31,0.779,7.945,0.633,0,0,None,0,0,agricultural
Kanpur,26.430362,80.324281,2010-01-15,19.1,121.33,51.44,19.15,1.0,18.46,32.99,85.06,4.76,58.57,0.666,2.954,2.073,0,0,None,0,0,vehicular
Delhi,28.591796,77.24044,2010-01-16,22.49,150.23,57.65,15.48,1.0,33.19,25.38,58.81,6.15,42.66,0.273,1.014,7.56,0,0,None,0,0,fire_crackers
Mumbai,19.057664,72.89673,2010-01-16,52.59,52.79,7.93,22.48,1.075,31.21,31.53,81.46,2.11,90.36,0.664,0.888,3.207,0,0,None,0,0,vehicular
Chennai,13.076778,80.281215,2010-01-16,60.43,72.3,31.86,26.86,1.053,37.01,39.86,31.84,5.43,101.7,0.348,4.49,8.782,0,0,None,0,0,waste
