Year,Festival,City,Latitude,Longitude,PM2.5_pre,PM2.5_during,PM10_pre,PM10_during,NO2_pre,NO2_during,SO2_pre,SO2_during,CO_pre,CO_during,O3_pre,O3_during,Festival_Date
2014,NewYear,Mumbai,19.076,72.8777,42.5,55.25,76.5,91.8,15.3,16.83,4.25,4.675,0.51,0.561,23.8,21.63636364,01-01-2014
2014,NewYear,Kolkata,22.5726,88.3639,55,71.5,99,118.8,19.8,21.78,5.5,6.05,0.66,0.726,30.8,28,01-01-2014
2014,NewYear,Chennai,13.0827,80.2707,37.5,48.75,67.5,81,13.5,14.85,3.75,4.125,0.45,0.495,21,19.09090909,01-01-2014
2014,NewYear,Bengaluru,12.9716,77.5946,35,45.5,63,75.6,12.6,13.86,3.5,3.85,0.42,0.462,19.6,17.81818182,01-01-2014
2014,NewYear,Hyderabad,17.385,78.4867,47.5,61.75,85.5,102.6,17.1,18.81,4.75,5.225,0.57,0.627,26.6,24.18181818,01-01-2014
2015,Diwali,Delhi,28.6139,77.209,71.68,186.368,128.8,322,25.9,38.85,7.14,10.71,0.868,1.302,38.92,25.94666667,11-11-2015
2015,Diwali,Mumbai,19.076,72.8777,43.52,113.152,78.2,195.5,15.725,23.5875,4.335,6.5025,0.527,0.7905,23.63,15.75333333,11-11-2015
2015,Diwali,Kolkata,22.5726,88.3639,56.32,146.432,101.2,253,20.35,30.525,5.61,8.415,0.682,1.023,30.58,20.38666667,11-11-2015
2015,Diwali,Chennai,13.0827,80.2707,38.4,99.84,69,172.5,13.875,20.8125,3.825,5.7375,0.465,0.6975,20.85,13.9,11-11-2015
2015,Diwali,Bengaluru,12.9716,77.5946,35.84,93.184,64.4,161,12.95,19.425,3.57,5.355,0.434,0.651,19.46,12.97333333,11-11-2015
2015,Diwali,Hyderabad,17.385,78.4867,48.64,126.464,87.4,218.5,17.575,26.3625,4.845,7.2675,0.589,0.8835,26.41,17.60666667,11-11-2015
2015,Holi,Delhi,28.6139,77.209,71.68,143.36,128.8,244.72,25.9,33.67,7.14,9.282,0.868,1.1284,38.92,29.93846154,06-03-2015
2015,Holi,Mumbai,19.076,72.8777,43.52,87.04,78.2,148.58,15.725,20.4425,4.335,5.6355,0.527,0.6851,23.63,18.17692308,06-03-2015
2015,Holi,Kolkata,22.5726,88.3639,56.32,112.64,101.2,192.28,20.35,26.455,5.61,7.293,0.682,0.8866,30.58,23.52307692,06-03-2015
2015,Holi,Chennai,13.0827,80.2707,38.4,76.8,69,131.1,13.875,18.0375,3.825,4.9725,0.465,0.6045,20.85,16.03846154,06-03-2015
2015,Holi,Bengaluru,12.9716,77.5946,35.84,71.68,64.4,122.36,12.95,16.835,3.57,4.641,0.434,0.5642,19.46,14.96923077,06-03-2015
2015,Holi,Hyderabad,17.385,78.4867,48.64,97.28,87.4,166.06,17.575,22.8475,4.845,6.2985,0.589,0.7657,26.41,20.31538462,06-03-2015
2015,Pongal,Delhi,28.6139,77.209,71.68,100.352,128.8,167.44,25.9,31.08,7.14,8.568,0.868,1.0416,38.92,32.43333333,14-01-2015
2015,Pongal,Mumbai,19.076,72.8777,43.52,60.928,78.2,101.66,15.725,18.87,4.335,5.202,0.527,0.6324,23.63,19.69166667,14-01-2015
2015,Pongal,Kolkata,22.5726,88.3639,56.32,78.848,101.2,131.56,20.35,24.42,5.61,6.732,0.682,0.8184,30.58,25.48333333,14-01-2015
2015,Pongal,Chennai,13.0827,80.2707,38.4,53.76,69,89.7,13.875,16.65,3.825,4.59,0.465,0.558,20.85,17.375,14-01-2015
2015,Pongal,Bengaluru,12.9716,77.5946,35.84,50.176,64.4,83.72,12.95,15.54,3.57,4.284,0.434,0.5208,19.46,16.21666667,14-01-2015
2015,Pongal,Hyderabad,17.385,78.4867,48.64,68.096,87.4,113.62,17.575,21.09,4.845,5.814,0.589,0.7068,26.41,22.00833333,14-01-2015
2015,NewYear,Delhi,28.6139,77.209,71.68,93.184,128.8,154.56,25.9,28.49,7.14,7.854,0.868,0.9548,38.92,35.38181818,01-01-2015
2015,NewYear,Mumbai,19.076,72.8777,43.52,56.576,78.2,93.84,15.725,17.2975,4.335,4.7685,0.527,0.5797,23.63,21.48181818,01-01-2015
2015,NewYear,Kolkata,22.5726,88.3639,56.32,73.216,101.2,121.44,20.35,22.385,5.61,6.171,0.682,0.7502,30.58,27.8,01-01-2015
2015,NewYear,Chennai,13.0827,80.2707,38.4,49.92,69,82.8,13.875,15.2625,3.825,4.2075,0.465,0.5115,20.85,18.95454545,01-01-2015
2015,NewYear,Bengaluru,12.9716,77.5946,35.84,46.592,64.4,77.28,12.95,14.245,3.57,3.927,0.434,0.4774,19.46,17.69090909,01-01-2015
2015,NewYear,Hyderabad,17.385,78.4867,48.64,63.232,87.4,104.88,17.575,19.3325,4.845,5.3295,0.589,0.6479,26.41,24.00909091,01-01-2015
2016,Diwali,Delhi,28.6139,77.209,73.36,190.736,131.6,329,26.6,39.9,7.28,10.92,0.896,1.344,38.64,25.76,30-10-2016
2016,Diwali,Mumbai,19.076,72.8777,44.54,115.804,79.9,199.75,16.15,24.225,4.42,6.63,0.544,0.816,23.46,15.64,30-10-2016
2016,Diwali,Kolkata,22.5726,88.3639,57.64,149.864,103.4,258.5,20.9,31.35,5.72,8.58,0.704,1.056,30.36,20.24,30-10-2016
2016,Diwali,Chennai,13.0827,80.2707,39.3,102.18,70.5,176.25,14.25,21.375,3.9,5.85,0.48,0.72,20.7,13.8,30-10-2016
2016,Diwali,Bengaluru,12.9716,77.5946,36.68,95.368,65.8,164.5,13.3,19.95,3.64,5.46,0.448,0.672,19.32,12.88,30-10-2016
2016,Diwali,Hyderabad,17.385,78.4867,49.78,129.428,89.3,223.25,18.05,27.075,4.94,7.41,0.608,0.912,26.22,17.48,30-10-2016
2016,Holi,Delhi,28.6139,77.209,73.36,146.72,131.6,250.04,26.6,34.58,7.28,9.464,0.896,1.1648,38.64,29.72307692,24-03-2016
2016,Holi,Mumbai,19.076,72.8777,44.54,89.08,79.9,151.81,16.15,20.995,4.42,5.746,0.544,0.7072,23.46,18.04615385,24-03-2016
2016,Holi,Kolkata,22.5726,88.3639,57.64,115.28,103.4,196.46,20.9,27.17,5.72,7.436,0.704,0.9152,30.36,23.35384615,24-03-2016
2016,Holi,Chennai,13.0827,80.2707,39.3,78.6,70.5,133.95,14.25,18.525,3.9,5.07,0.48,0.624,20.7,15.92307692,24-03-2016
2016,Holi,Bengaluru,12.9716,77.5946,36.68,73.36,65.8,125.02,13.3,17.29,3.64,4.732,0.448,0.5824,19.32,14.86153846,24-03-2016
2016,Holi,Hyderabad,17.385,78.4867,49.78,99.56,89.3,169.67,18.05,23.465,4.94,6.422,0.608,0.7904,26.22,20.16923077,24-03-2016
2016,Pongal,Delhi,28.6139,77.209,73.36,102.704,131.6,171.08,26.6,31.92,7.28,8.736,0.896,1.0752,38.64,32.2,14-01-2016
2016,Pongal,Mumbai,19.076,72.8777,44.54,62.356,79.9,103.87,16.15,19.38,4.42,5.304,0.544,0.6528,23.46,19.55,14-01-2016
2016,Pongal,Kolkata,22.5726,88.3639,57.64,80.696,103.4,134.42,20.9,25.08,5.72,6.864,0.704,0.8448,30.36,25.3,14-01-2016
2016,Pongal,Chennai,13.0827,80.2707,39.3,55.02,70.5,91.65,14.25,17.1,3.9,4.68,0.48,0.576,20.7,17.25,14-01-2016
2016,Pongal,Bengaluru,12.9716,77.5946,36.68,51.352,65.8,85.54,13.3,15.96,3.64,4.368,0.448,0.5376,19.32,16.1,14-01-2016
2016,Pongal,Hyderabad,17.385,78.4867,49.78,69.692,89.3,116.09,18.05,21.66,4.94,5.928,0.608,0.7296,26.22,21.85,14-01-2016
2016,NewYear,Delhi,28.6139,77.209,73.36,95.368,131.6,157.92,26.6,29.26,7.28,8.008,0.896,0.9856,38.64,35.12727273,01-01-2016
2016,NewYear,Mumbai,19.076,72.8777,44.54,57.902,79.9,95.88,16.15,17.765,4.42,4.862,0.544,0.5984,23.46,21.32727273,01-01-2016
2016,NewYear,Kolkata,22.5726,88.3639,57.64,74.932,103.4,124.08,20.9,22.99,5.72,6.292,0.704,0.7744,30.36,27.6,01-01-2016
2016,NewYear,Chennai,13.0827,80.2707,39.3,51.09,70.5,84.6,14.25,15.675,3.9,4.29,0.48,0.528,20.7,18.81818182,01-01-2016
2016,NewYear,Bengaluru,12.9716,77.5946,36.68,47.684,65.8,78.96,13.3,14.63,3.64,4.004,0.448,0.4928,19.32,17.56363636,01-01-2016
2016,NewYear,Hyderabad,17.385,78.4867,49.78,64.714,89.3,107.16,18.05,19.855,4.94,5.434,0.608,0.6688,26.22,23.83636364,01-01-2016
2017,Diwali,Delhi,28.6139,77.209,75.04,195.104,134.4,336,27.3,40.95,7.42,11.13,0.924,1.386,38.36,25.57333333,19-10-2017
2017,Diwali,Mumbai,19.076,72.8777,45.56,118.456,81.6,204,16.575,24.8625,4.505,6.7575,0.561,0.8415,23.29,15.52666667,19-10-2017
2017,Diwali,Kolkata,22.5726,88.3639,58.96,153.296,105.6,264,21.45,32.175,5.83,8.745,0.726,1.089,30.14,20.09333333,19-10-2017
2017,Diwali,Chennai,13.0827,80.2707,40.2,104.52,72,180,14.625,21.9375,3.975,5.9625,0.495,0.7425,20.55,13.7,19-10-2017
2017,Diwali,Bengaluru,12.9716,77.5946,37.52,97.552,67.2,168,13.65,20.475,3.71,5.565,0.462,0.693,19.18,12.78666667,19-10-2017
2017,Diwali,Hyderabad,17.385,78.4867,50.92,132.392,91.2,228,18.525,27.7875,5.035,7.5525,0.627,0.9405,26.03,17.35333333,19-10-2017
2017,Holi,Delhi,28.6139,77.209,75.04,150.08,134.4,255.36,27.3,35.49,7.42,9.646,0.924,1.2012,38.36,29.50769231,13-03-2017
2017,Holi,Mumbai,19.076,72.8777,45.56,91.12,81.6,155.04,16.575,21.5475,4.505,5.8565,0.561,0.7293,23.29,17.91538462,13-03-2017
2017,Holi,Kolkata,22.5726,88.3639,58.96,117.92,105.6,200.64,21.45,27.885,5.83,7.579,0.726,0.9438,30.14,23.18461538,13-03-2017
2017,Holi,Chennai,13.0827,80.2707,40.2,80.4,72,136.8,14.625,19.0125,3.975,5.1675,0.495,0.6435,20.55,15.80769231,13-03-2017
2017,Holi,Bengaluru,12.9716,77.5946,37.52,75.04,67.2,127.68,13.65,17.745,3.71,4.823,0.462,0.6006,19.18,14.75384615,13-03-2017
2017,Holi,Hyderabad,17.385,78.4867,50.92,101.84,91.2,173.28,18.525,24.0825,5.035,6.5455,0.627,0.8151,26.03,20.02307692,13-03-2017
2017,Pongal,Delhi,28.6139,77.209,75.04,105.056,134.4,174.72,27.3,32.76,7.42,8.904,0.924,1.1088,38.36,31.96666667,14-01-2017
2017,Pongal,Mumbai,19.076,72.8777,45.56,63.784,81.6,106.08,16.575,19.89,4.505,5.406,0.561,0.6732,23.29,19.40833333,14-01-2017
2017,Pongal,Kolkata,22.5726,88.3639,58.96,82.544,105.6,137.28,21.45,25.74,5.83,6.996,0.726,0.8712,30.14,25.11666667,14-01-2017
2017,Pongal,Chennai,13.0827,80.2707,40.2,56.28,72,93.6,14.625,17.55,3.975,4.77,0.495,0.594,20.55,17.125,14-01-2017
2017,Pongal,Bengaluru,12.9716,77.5946,37.52,52.528,67.2,87.36,13.65,16.38,3.71,4.452,0.462,0.5544,19.18,15.98333333,14-01-2017
2017,Pongal,Hyderabad,17.385,78.4867,50.92,71.288,91.2,118.56,18.525,22.23,5.035,6.042,0.627,0.7524,26.03,21.69166667,14-01-2017
2017,NewYear,Delhi,28.6139,77.209,75.04,97.552,134.4,161.28,27.3,30.03,7.42,8.162,0.924,1.0164,38.36,34.87272727,01-01-2017
2017,NewYear,Mumbai,19.076,72.8777,45.56,59.228,81.6,97.92,16.575,18.2325,4.505,4.9555,0.561,0.6171,23.29,21.17272727,01-01-2017
2017,NewYear,Kolkata,22.5726,88.3639,58.96,76.648,105.6,126.72,21.45,23.595,5.83,6.413,0.726,0.7986,30.14,27.4,01-01-2017
2017,NewYear,Chennai,13.0827,80.2707,40.2,52.26,72,86.4,14.625,16.0875,3.975,4.3725,0.495,0.5445,20.55,18.68181818,01-01-2017
2017,NewYear,Bengaluru,12.9716,77.5946,37.52,48.776,67.2,80.64,13.65,15.015,3.71,4.081,0.462,0.5082,19.18,17.43636364,01-01-2017
2017,NewYear,Hyderabad,17.385,78.4867,50.92,66.196,91.2,109.44,18.525,20.3775,5.035,5.5385,0.627,0.6897,26.03,23.66363636,01-01-2017
2018,Diwali,Delhi,28.6139,77.209,76.72,199.472,137.2,343,28,42,7.56,11.34,0.952,1.428,38.08,25.38666667,07-11-2018
2018,Diwali,Mumbai,19.076,72.8777,46.58,121.108,83.3,208.25,17,25.5,4.59,6.885,0.578,0.867,23.12,15.41333333,07-11-2018
2018,Diwali,Kolkata,22.5726,88.3639,60.28,156.728,107.8,269.5,22,33,5.94,8.91,0.748,1.122,29.92,19.94666667,07-11-2018
2018,Diwali,Chennai,13.0827,80.2707,41.1,106.86,73.5,183.75,15,22.5,4.05,6.075,0.51,0.765,20.4,13.6,07-11-2018
2018,Diwali,Bengaluru,12.9716,77.5946,38.36,99.736,68.6,171.5,14,21,3.78,5.67,0.476,0.714,19.04,12.69333333,07-11-2018
2018,Diwali,Hyderabad,17.385,78.4867,52.06,135.356,93.1,232.75,19,28.5,5.13,7.695,0.646,0.969,25.84,17.22666667,07-11-2018
2018,Holi,Delhi,28.6139,77.209,76.72,153.44,137.2,260.68,28,36.4,7.56,9.828,0.952,1.2376,38.08,29.29230769,02-03-2018
2018,Holi,Mumbai,19.076,72.8777,46.58,93.16,83.3,158.27,17,22.1,4.59,5.967,0.578,0.7514,23.12,17.78461538,02-03-2018
2018,Holi,Kolkata,22.5726,88.3639,60.28,120.56,107.8,204.82,22,28.6,5.94,7.722,0.748,0.9724,29.92,23.01538462,02-03-2018
2018,Holi,Chennai,13.0827,80.2707,41.1,82.2,73.5,139.65,15,19.5,4.05,5.265,0.51,0.663,20.4,15.69230769,02-03-2018
2018,Holi,Bengaluru,12.9716,77.5946,38.36,76.72,68.6,130.34,14,18.2,3.78,4.914,0.476,0.6188,19.04,14.64615385,02-03-2018
2018,Holi,Hyderabad,17.385,78.4867,52.06,104.12,93.1,176.89,19,24.7,5.13,6.669,0.646,0.8398,25.84,19.87692308,02-03-2018
2018,Pongal,Delhi,28.6139,77.209,76.72,107.408,137.2,178.36,28,33.6,7.56,9.072,0.952,1.1424,38.08,31.73333333,14-01-2018
2018,Pongal,Mumbai,19.076,72.8777,46.58,65.212,83.3,108.29,17,20.4,4.59,5.508,0.578,0.6936,23.12,19.26666667,14-01-2018
2018,Pongal,Kolkata,22.5726,88.3639,60.28,84.392,107.8,140.14,22,26.4,5.94,7.128,0.748,0.8976,29.92,24.93333333,14-01-2018
2018,Pongal,Chennai,13.0827,80.2707,41.1,57.54,73.5,95.55,15,18,4.05,4.86,0.51,0.612,20.4,17,14-01-2018
2018,Pongal,Bengaluru,12.9716,77.5946,38.36,53.704,68.6,89.18,14,16.8,3.78,4.536,0.476,0.5712,19.04,15.86666667,14-01-2018
2018,Pongal,Hyderabad,17.385,78.4867,52.06,72.884,93.1,121.03,19,22.8,5.13,6.156,0.646,0.7752,25.84,21.53333333,14-01-2018
2018,NewYear,Delhi,28.6139,77.209,76.72,99.736,137.2,164.64,28,30.8,7.56,8.316,0.952,1.0472,38.08,34.61818182,01-01-2018
2018,NewYear,Mumbai,19.076,72.8777,46.58,60.554,83.3,99.96,17,18.7,4.59,5.049,0.578,0.6358,23.12,21.01818182,01-01-2018
2018,NewYear,Kolkata,22.5726,88.3639,60.28,78.364,107.8,129.36,22,24.2,5.94,6.534,0.748,0.8228,29.92,27.2,01-01-2018
2018,NewYear,Chennai,13.0827,80.2707,41.1,53.43,73.5,88.2,15,16.5,4.05,4.455,0.51,0.561,20.4,18.54545455,01-01-2018
2018,NewYear,Bengaluru,12.9716,77.5946,38.36,49.868,68.6,82.32,14,15.4,3.78,4.158,0.476,0.5236,19.04,17.30909091,01-01-2018
2018,NewYear,Hyderabad,17.385,78.4867,52.06,67.678,93.1,111.72,19,20.9,5.13,5.643,0.646,0.7106,25.84,23.49090909,01-01-2018
2019,Diwali,Delhi,28.6139,77.209,78.4,203.84,140,350,28.7,43.05,7.7,11.55,0.98,1.47,37.8,25.2,27-10-2019
2019,Diwali,Mumbai,19.076,72.8777,47.6,123.76,85,212.5,17.425,26.1375,4.675,7.0125,0.595,0.8925,22.95,15.3,27-10-2019
2019,Diwali,Kolkata,22.5726,88.3639,61.6,160.16,110,275,22.55,33.825,6.05,9.075,0.77,1.155,29.7,19.8,27-10-2019
2019,Diwali,Chennai,13.0827,80.2707,42,109.2,75,187.5,15.375,23.0625,4.125,6.1875,0.525,0.7875,20.25,13.5,27-10-2019
2019,Diwali,Bengaluru,12.9716,77.5946,39.2,101.92,70,175,14.35,21.525,3.85,5.775,0.49,0.735,18.9,12.6,27-10-2019
2019,Diwali,Hyderabad,17.385,78.4867,53.2,138.32,95,237.5,19.475,29.2125,5.225,7.8375,0.665,0.9975,25.65,17.1,27-10-2019
2019,Holi,Delhi,28.6139,77.209,78.4,156.8,140,266,28.7,37.31,7.7,10.01,0.98,1.274,37.8,29.07692308,21-03-2019
2019,Holi,Mumbai,19.076,72.8777,47.6,95.2,85,161.5,17.425,22.6525,4.675,6.0775,0.595,0.7735,22.95,17.65384615,21-03-2019
2019,Holi,Kolkata,22.5726,88.3639,61.6,123.2,110,209,22.55,29.315,6.05,7.865,0.77,1.001,29.7,22.84615385,21-03-2019
2019,Holi,Chennai,13.0827,80.2707,42,84,75,142.5,15.375,19.9875,4.125,5.3625,0.525,0.6825,20.25,15.57692308,21-03-2019
2019,Holi,Bengaluru,12.9716,77.5946,39.2,78.4,70,133,14.35,18.655,3.85,5.005,0.49,0.637,18.9,14.53846154,21-03-2019
2019,Holi,Hyderabad,17.385,78.4867,53.2,106.4,95,180.5,19.475,25.3175,5.225,6.7925,0.665,0.8645,25.65,19.73076923,21-03-2019
2019,Pongal,Delhi,28.6139,77.209,78.4,109.76,140,182,28.7,34.44,7.7,9.24,0.98,1.176,37.8,31.5,15-01-2019
2019,Pongal,Mumbai,19.076,72.8777,47.6,66.64,85,110.5,17.425,20.91,4.675,5.61,0.595,0.714,22.95,19.125,15-01-2019
2019,Pongal,Kolkata,22.5726,88.3639,61.6,86.24,110,143,22.55,27.06,6.05,7.26,0.77,0.924,29.7,24.75,15-01-2019
2019,Pongal,Chennai,13.0827,80.2707,42,58.8,75,97.5,15.375,18.45,4.125,4.95,0.525,0.63,20.25,16.875,15-01-2019
2019,Pongal,Bengaluru,12.9716,77.5946,39.2,54.88,70,91,14.35,17.22,3.85,4.62,0.49,0.588,18.9,15.75,15-01-2019
2019,Pongal,Hyderabad,17.385,78.4867,53.2,74.48,95,123.5,19.475,23.37,5.225,6.27,0.665,0.798,25.65,21.375,15-01-2019
2019,NewYear,Delhi,28.6139,77.209,78.4,101.92,140,168,28.7,31.57,7.7,8.47,0.98,1.078,37.8,34.36363636,01-01-2019
2019,NewYear,Mumbai,19.076,72.8777,47.6,61.88,85,102,17.425,19.1675,4.675,5.1425,0.595,0.6545,22.95,20.86363636,01-01-2019
2019,NewYear,Kolkata,22.5726,88.3639,61.6,80.08,110,132,22.55,24.805,6.05,6.655,0.77,0.847,29.7,27,01-01-2019
2019,NewYear,Chennai,13.0827,80.2707,42,54.6,75,90,15.375,16.9125,4.125,4.5375,0.525,0.5775,20.25,18.40909091,01-01-2019
2019,NewYear,Bengaluru,12.9716,77.5946,39.2,50.96,70,84,14.35,15.785,3.85,4.235,0.49,0.539,18.9,17.18181818,01-01-2019
2019,NewYear,Hyderabad,17.385,78.4867,53.2,69.16,95,114,19.475,21.4225,5.225,5.7475,0.665,0.7315,25.65,23.31818182,01-01-2019
2020,Diwali,Delhi,28.6139,77.209,80.08,208.208,142.8,357,29.4,44.1,7.84,11.76,1.008,1.512,37.52,25.01333333,14-11-2020
2020,Diwali,Mumbai,19.076,72.8777,48.62,126.412,86.7,216.75,17.85,26.775,4.76,7.14,0.612,0.918,22.78,15.18666667,14-11-2020
2020,Diwali,Kolkata,22.5726,88.3639,62.92,163.592,112.2,280.5,23.1,34.65,6.16,9.24,0.792,1.188,29.48,19.65333333,14-11-2020
2020,Diwali,Chennai,13.0827,80.2707,42.9,111.54,76.5,191.25,15.75,23.625,4.2,6.3,0.54,0.81,20.1,13.4,14-11-2020
2020,Diwali,Bengaluru,12.9716,77.5946,40.04,104.104,71.4,178.5,14.7,22.05,3.92,5.88,0.504,0.756,18.76,12.50666667,14-11-2020
2020,Diwali,Hyderabad,17.385,78.4867,54.34,141.284,96.9,242.25,19.95,29.925,5.32,7.98,0.684,1.026,25.46,16.97333333,14-11-2020
2020,Holi,Delhi,28.6139,77.209,80.08,160.16,142.8,271.32,29.4,38.22,7.84,10.192,1.008,1.3104,37.52,28.86153846,10-03-2020
2020,Holi,Mumbai,19.076,72.8777,48.62,97.24,86.7,164.73,17.85,23.205,4.76,6.188,0.612,0.7956,22.78,17.52307692,10-03-2020
2020,Holi,Kolkata,22.5726,88.3639,62.92,125.84,112.2,213.18,23.1,30.03,6.16,8.008,0.792,1.0296,29.48,22.67692308,10-03-2020
2020,Holi,Chennai,13.0827,80.2707,42.9,85.8,76.5,145.35,15.75,20.475,4.2,5.46,0.54,0.702,20.1,15.46153846,10-03-2020
2020,Holi,Bengaluru,12.9716,77.5946,40.04,80.08,71.4,135.66,14.7,19.11,3.92,5.096,0.504,0.6552,18.76,14.43076923,10-03-2020
2020,Holi,Hyderabad,17.385,78.4867,54.34,108.68,96.9,184.11,19.95,25.935,5.32,6.916,0.684,0.8892,25.46,19.58461538,10-03-2020
2020,Pongal,Delhi,28.6139,77.209,80.08,112.112,142.8,185.64,29.4,35.28,7.84,9.408,1.008,1.2096,37.52,31.26666667,15-01-2020
2020,Pongal,Mumbai,19.076,72.8777,48.62,68.068,86.7,112.71,17.85,21.42,4.76,5.712,0.612,0.7344,22.78,18.98333333,15-01-2020
2020,Pongal,Kolkata,22.5726,88.3639,62.92,88.088,112.2,145.86,23.1,27.72,6.16,7.392,0.792,0.9504,29.48,24.56666667,15-01-2020
2020,Pongal,Chennai,13.0827,80.2707,42.9,60.06,76.5,99.45,15.75,18.9,4.2,5.04,0.54,0.648,20.1,16.75,15-01-2020
2020,Pongal,Bengaluru,12.9716,77.5946,40.04,56.056,71.4,92.82,14.7,17.64,3.92,4.704,0.504,0.6048,18.76,15.63333333,15-01-2020
2020,Pongal,Hyderabad,17.385,78.4867,54.34,76.076,96.9,125.97,19.95,23.94,5.32,6.384,0.684,0.8208,25.46,21.21666667,15-01-2020
2020,NewYear,Delhi,28.6139,77.209,80.08,104.104,142.8,171.36,29.4,32.34,7.84,8.624,1.008,1.1088,37.52,34.10909091,01-01-2020
2020,NewYear,Mumbai,19.076,72.8777,48.62,63.206,86.7,104.04,17.85,19.635,4.76,5.236,0.612,0.6732,22.78,20.70909091,01-01-2020
2020,NewYear,Kolkata,22.5726,88.3639,62.92,81.796,112.2,134.64,23.1,25.41,6.16,6.776,0.792,0.8712,29.48,26.8,01-01-2020
2020,NewYear,Chennai,13.0827,80.2707,42.9,55.77,76.5,91.8,15.75,17.325,4.2,4.62,0.54,0.594,20.1,18.27272727,01-01-2020
2020,NewYear,Bengaluru,12.9716,77.5946,40.04,52.052,71.4,85.68,14.7,16.17,3.92,4.312,0.504,0.5544,18.76,17.05454545,01-01-2020
2020,NewYear,Hyderabad,17.385,78.4867,54.34,70.642,96.9,116.28,19.95,21.945,5.32,5.852,0.684,0.7524,25.46,23.14545455,01-01-2020
2021,Diwali,Delhi,28.6139,77.209,81.76,212.576,145.6,364,30.1,45.15,7.98,11.97,1.036,1.554,37.24,24.82666667,04-11-2021
2021,Diwali,Mumbai,19.076,72.8777,49.64,129.064,88.4,221,18.275,27.4125,4.845,7.2675,0.629,0.9435,22.61,15.07333333,04-11-2021
2021,Diwali,Kolkata,22.5726,88.3639,64.24,167.024,114.4,286,23.65,35.475,6.27,9.405,0.814,1.221,29.26,19.50666667,04-11-2021
2021,Diwali,Chennai,13.0827,80.2707,43.8,113.88,78,195,16.125,24.1875,4.275,6.4125,0.555,0.8325,19.95,13.3,04-11-2021
2021,Diwali,Bengaluru,12.9716,77.5946,40.88,106.288,72.8,182,15.05,22.575,3.99,5.985,0.518,0.777,18.62,12.41333333,04-11-2021
2021,Diwali,Hyderabad,17.385,78.4867,55.48,144.248,98.8,247,20.425,30.6375,5.415,8.1225,0.703,1.0545,25.27,16.84666667,04-11-2021
